"","matt.code","site","date","timestamp","trip","lake.code","dup.num","ice.on.off","o2.g.m3","do.pct.sat","delo18.o2","sd.delo18.o2","delo18.h2o","wind.ms","sd.wind.ms","wind.height.ms","lake.area.km2","zmix.m","h2o.temp.c"
"1",1,"12mile","6/29/16",41088,3,1,1,1,9.61,106.7,17.54,0.03,-12.69,2.88,1.24,3,3.413,4,20.44
"2",2,"9mile","6/30/16",41089,3,2,1,1,12.12,141.5,13,0.17,-14.1,2.88,1.24,3,3.331,1.9,23.03
"3",3,"abraham","6/30/16",41089,3,3,1,1,9.08,104.8,15.6,0.57,-16.66,2.88,1.24,3,0.781,3.5,22.42
"4",4,"boot","6/28/16",41087,3,4,1,1,9.71,103.8,20.35,0.15,-15.07,2.88,1.24,3,0.734,5,18.66
"5",5,"canvas_raft","6/26/16",41085,3,5,1,1,12.27,143,13.52,0.27,-12.91,2.88,1.24,3,2.832,0.9,22.85
"6",6,"greenpepper(yf15)","6/28/16",41087,3,6,1,1,9.92,105.9,19.81,0.52,-10.22,2.88,1.24,3,0.967,5.9,18.37
"7",7,"sandsoftime","6/30/16",41089,3,7,1,1,9,100.1,22.61,0.37,-14.56,2.88,1.24,3,0.747,7.5,20.59
"8",8,"scoter(yf16)","6/30/16",41089,3,8,1,1,9.71,109.8,17.04,0.09,-14.54,2.88,1.24,3,4.555,3.8,21.38
"9",9,"shack","6/30/16",41089,3,9,1,1,6.31,71.5,26.51,0.16,-13.3,2.88,1.24,3,0.557,2.3,21.35
"10",10,"thumb","6/30/16",41089,3,10,1,1,11.89,138.3,10.49,0.15,-16.83,2.88,1.24,3,0.988,1.5,22.88
"11",11,"twin","6/30/16",41089,3,11,1,1,8.37,94.9,21.74,0.54,-18.89,2.88,1.24,3,4.229,1.4,21.55
"12",12,"westcrz","6/28/16",41087,3,12,1,1,9.04,94,23.25,0.21,-18.39,2.88,1.24,3,0.501,3.7,17.2
"13",13,"yf02","6/29/16",41088,3,13,1,1,9.48,104.8,16.17,0.36,NA,2.88,1.24,3,1.164,4.5,20.21
"14",14,"yf03","6/29/16",41088,3,14,1,1,9.18,101.9,16.04,0.1,-20.18,2.88,1.24,3,0.68,1.3,20.44
"15",15,"yf08","6/29/16",41088,3,15,1,1,8.65,94,19.94,0.38,-20.73,2.88,1.24,3,1.627,1.8,19.38
"16",16,"yf09","6/29/16",41088,3,16,1,1,9.26,100.9,14.21,NA,-20.99,2.88,1.24,3,0.79,0.8,19.49
"17",17,"yf14","6/30/16",41089,3,17,1,1,10.28,117.8,15.5,0.03,-18.34,2.88,1.24,3,1.292,2,22.14
"18",18,"yf17","6/29/16",41088,3,18,1,1,8.71,99.1,13.1,0.46,-12.19,2.88,1.24,3,1.746,1.7,21.61
"19",19,"yf18","6/29/16",41088,3,19,1,1,9.25,101.7,19.8,0.51,-19.07,2.88,1.24,3,1.625,2,19.95
"20",20,"yf20","6/29/16",41088,3,20,1,1,11.6,129.6,9.33,0.17,-19.4,2.88,1.24,3,0.593,0.5,20.72
"21",21,"12mile","9/16/16",41167,4,1,1,1,7.73,68.4,21.88,0.33,-12.25,1.77,1.18,3,3.413,4,9.86
"22",22,"9Mile","9/17/16",41168,4,2,1,1,10.67,85.9,16.75,0.16,-12.81,1.77,1.18,3,3.331,2,6.35
"23",23,"abraham","9/16/16",41167,4,3,1,1,10.28,85.7,20.87,0.95,-15.12,1.77,1.18,3,0.781,2.2,7.43
"24",24,"boot","9/16/16",41167,4,4,1,1,9.09,80.7,22.5,0.14,-14.62,1.77,1.18,3,0.734,5,10.04
"25",25,"buddy","9/16/16",41167,4,21,1,1,9.99,85.3,21.21,0.26,-14.25,1.77,1.18,3,1.17,5.6,8.45
"26",26,"canvas_raft","9/13/16",41164,4,5,2,1,10.55,90.4,21.32,0.64,-11.56,1.77,1.18,3,2.832,2.7,8.52
"27",27,"greenpepper(yf15)","9/16/16",41167,4,6,1,1,8.73,78.5,20.39,0.04,-10.13,1.77,1.18,3,0.967,7,10.49
"28",28,"sandsoftime","9/15/16",41166,4,7,1,1,9.44,82.8,22.17,0.22,-14.22,1.77,1.18,3,0.747,6.5,9.58
"29",29,"scoter(yf16)","9/17/16",41168,4,8,1,1,9.29,79.8,19.8,0.47,-13.62,1.77,1.18,3,4.555,4.5,8.68
"30",30,"shack","9/15/16",41166,4,9,1,1,10.76,86.4,26.25,0.26,-11.9,1.77,1.18,3,0.557,1.8,5.75
"31",31,"twin","9/15/16",41166,4,11,1,1,11.8,94.6,23.47,0.13,-16.69,1.77,1.18,3,4.229,1.2,5.9
"32",32,"thumb","9/16/16",41167,4,10,1,1,10.87,87.9,18.74,0.02,-14.63,1.77,1.18,3,0.988,1.5,6.23
"33",33,"westcrz","9/16/16",41167,4,12,1,1,10.09,87.1,23.25,0.01,-17.15,1.77,1.18,3,0.501,4.6,8.91
"34",34,"yf02","9/14/16",41165,4,13,1,1,9.49,81.8,21.76,0.3,-13.61,1.77,1.18,3,1.164,5.1,8.79
"35",35,"yf03","9/14/16",41165,4,14,1,1,11.74,95.8,NA,NA,-18.15,1.77,1.18,3,0.68,2.3,6.62
"36",36,"yf08","9/14/16",41165,4,15,1,1,10.32,87,23.09,0.03,-20.96,1.77,1.18,3,1.627,4.8,7.94
"37",37,"yf09","9/14/16",41165,4,16,1,1,10.63,88.1,23.28,0.23,-20.98,1.77,1.18,3,0.79,2.2,7.26
"38",38,"yf14","9/17/16",41168,4,17,1,1,11.65,93.7,21.15,0.13,-16.71,1.77,1.18,3,1.292,2,6.03
"39",39,"yf17","9/17/16",41168,4,18,1,1,9.21,73.6,19.19,0.22,-11.06,1.77,1.18,3,1.746,1.6,5.77
"40",40,"yf18","9/14/16",41165,4,19,1,1,11.11,92.7,NA,NA,-17.35,1.77,1.18,3,1.625,3.7,7.47
"41",41,"yf20","9/14/16",41165,4,20,1,1,12.24,97.9,19.57,0.08,-17.61,1.77,1.18,3,0.593,0.5,5.82
"42",42,"12mile","4/6/17",41369,5,1,1,2,5.93,40.8,25.79,NA,-12.71,0,NA,NA,3.413,NA,0.15
"43",43,"9mile","4/7/17",41370,5,2,1,2,1.93,13.2,32.55,NA,-14.29,0,NA,NA,3.331,NA,-0.26
"44",44,"abraham","4/5/17",41368,5,3,1,2,0.9,6.3,26.04,NA,-16.5,0,NA,NA,0.781,NA,0.36
"45",45,"boot","4/5/17",41368,5,4,1,2,7.35,52.9,25.36,NA,-15.15,0,NA,NA,0.734,NA,1.33
"46",46,"buddy","4/6/17",41369,5,21,1,2,3.09,22.3,30.47,NA,-14.9,0,NA,NA,1.17,NA,1.82
"47",47,"canvas_raft","4/6/17",41369,5,5,1,2,1.41,9.8,45.15,NA,-13.66,0,NA,NA,2.832,NA,0.04
"48",48,"greenpepper(yf15)","4/5/17",41368,5,6,1,2,3.56,24.6,29.51,NA,-10.36,0,NA,NA,0.967,NA,0
"49",49,"sandsoftime","4/4/17",41367,5,7,1,2,9.05,62.7,25.92,NA,-14.62,0,NA,NA,0.747,NA,0.43
"50",50,"scoter(yf16)","4/7/17",41370,5,8,1,2,3.08,21.1,25.29,NA,-14.03,0,NA,NA,4.555,NA,0
"51",51,"shack","4/4/17",41367,5,9,1,2,1.09,7.6,27.86,NA,-13.79,0,NA,NA,0.557,NA,0.3
"52",52,"thumb","4/7/17",41370,5,10,1,2,1.44,9.9,32.31,NA,-16.1,0,NA,NA,0.988,NA,0.09
"53",53,"westcrz","4/5/17",41368,5,12,1,2,9.56,66.3,26.44,NA,-17.28,0,NA,NA,0.501,NA,0.48
"54",54,"yf14","4/7/17",41370,5,17,1,2,2.16,15.6,26.96,NA,-17.37,0,NA,NA,1.292,NA,1.82
"55",55,"yf18","4/6/17",41369,5,19,1,2,1.25,8.7,25.61,NA,-18.67,0,NA,NA,1.625,NA,0.34
